index,x_mm,y_mm,z_mm,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg
3,-239.482346,-396.140076,409.771362,-1.620954,-1.443297,2.22171,-92.87382298484884,-82.69482668389318,127.29460630201012
4,-26.61306,-439.638367,354.604126,0.72112,-1.063267,-0.041183,41.317132522473926,-60.9207115955365,-2.3596120876872693
5,114.015938,-409.564911,196.721146,1.208815,-0.491537,0.027261,69.25999771210661,-28.162995574521947,1.5619402453061373
6,-34.591885,-661.287598,276.352661,2.286129,-0.678873,-0.916997,130.98554312246338,-38.89655772538473,-52.54005792615795
7,-138.197205,-513.725647,393.948273,2.193506,-1.2455,-0.880919,125.67863613662317,-71.36189338354404,-50.47294079288497
8,-192.934753,-427.140045,410.242218,1.566081,-1.508731,-0.312999,89.72983167562748,-86.4439187205522,-17.933521691815255
9,-170.890717,-317.158234,386.170166,0.281978,-1.274052,1.123665,16.156149315539928,-72.99780248020156,64.38126208656765
10,63.637508,-316.756744,245.721008,2.220593,-0.584259,0.328521,127.23060691629402,-33.475574842533966,18.822866781417318
11,119.450813,-426.212036,195.721619,2.57,-0.408206,-0.011436,147.25015334862155,-23.388480971917282,-0.6552345345116094
12,73.459419,-275.950775,202.205688,2.587376,-0.426894,0.444346,148.2457248134409,-24.459224499457765,25.45915044352008
13,103.252373,-574.22821,174.959457,2.659637,-0.35116,-0.426905,152.38597513683573,-20.11998593381399,-24.459854753032406
14,-146.660858,-625.415222,356.379089,2.562581,-0.983527,-1.237846,146.825075960414,-56.35194613716332,-70.9233514871509
15,-393.671936,-557.207153,358.418182,-2.870918,-0.971077,-2.528216,-164.49148472813928,-55.63861368222544,-144.85610649744694
16,-520.253845,-317.733734,252.148209,-2.640968,-0.565716,2.755636,-151.316320229106,-32.41313920302288,157.8863126743121
17,-487.680878,-211.393723,205.939835,-2.672314,-0.421301,2.428175,-153.11231373372308,-24.138769204641093,139.12417941917866
18,-395.628387,-140.982468,210.185547,-2.61789,-0.434874,2.091819,-149.99404822950308,-24.91644481997216,119.85240020527635
19,-329.829803,-96.941048,177.625732,-2.675562,-0.339789,1.866049,-153.29841042558158,-19.46847562497073,106.91673206460776
20,-250.713608,-61.236702,109.780464,-2.769387,-0.153039,1.632952,-158.67418693839653,-8.768488800902606,93.5612577474468
21,88.608398,-342.778168,224.358582,2.639031,-0.490426,0.246679,151.20533830418915,-28.099339963482908,14.133665594507635
22,91.214584,-531.69574,225.137146,2.586044,-0.495239,-0.328094,148.16940683512945,-28.375104550279374,-18.798401483565232
23,66.023132,-273.261597,212.740982,2.437272,-0.466378,0.454344,139.6453991254092,-26.72149105775231,26.031993647091877
24,116.206291,-432.000122,203.847656,2.573049,-0.433358,-0.022072,147.42484818035697,-24.82958441823033,-1.264632445412753
25,-211.136154,-587.03833,385.338135,2.808526,-1.137023,-1.526778,160.91668645275905,-65.1466191093034,-87.47793565342481
26,90.177711,-466.864655,245.962189,2.852342,-0.549146,-0.113396,163.42715832790427,-31.463748136491105,-6.497112213665483
27,-124.434959,-646.889343,338.86676,2.156633,-0.919187,-1.196255,123.56596885863726,-52.6655356832916,-68.5403627214223
28,-486.0755,-344.433807,301.357574,-2.920645,-0.729862,2.766661,-167.3406319559863,-41.81801222697729,158.51799864344386
29,-486.858887,-225.175354,221.195572,-3.025431,-0.46842,2.426596,-173.34442750804416,-26.838489039518024,139.0337093833275
30,-145.428177,-290.129059,374.092346,-1.621162,-1.080622,1.163283,-92.88574050698756,-61.915079848986046,66.65120627931695
31,110.633972,-333.119751,179.806259,1.283189,-0.421548,0.269371,73.52131401761258,-24.152921262180826,15.4338214232185
32,144.798386,-437.811066,126.881767,1.666147,-0.259162,-0.03766,95.46319114838357,-14.848888810169441,-2.1577590564626803
33,131.267075,-539.047791,126.917122,1.533891,-0.27142,-0.311253,87.88548053310136,-15.551220475440804,-17.833483260785414
34,-550.062317,-301.964081,198.114365,-1.828119,-0.427628,2.777616,-104.74350314767655,-24.501279601620368,159.14567390800968
35,-147.434021,-450.377014,406.764404,2.365153,-1.325591,-0.337898,135.5132848027052,-75.9507696605263,-19.36012930591149
